location,total_sqft,bath,bhk
1st Block Jayanagar,2850.0,4.0,4
1st Block Jayanagar,1630.0,3.0,3
1st Block Jayanagar,1875.0,2.0,3
1st Block Jayanagar,1200.0,2.0,3
1st Block Jayanagar,1235.0,2.0,2
1st Block Jayanagar,2750.0,4.0,4
1st Block Jayanagar,2450.0,4.0,4
1st Phase JP Nagar,1875.0,3.0,3
1st Phase JP Nagar,1500.0,5.0,5
1st Phase JP Nagar,2065.0,4.0,3
1st Phase JP Nagar,2059.0,3.0,3
1st Phase JP Nagar,1394.0,2.0,2
1st Phase JP Nagar,1077.0,2.0,2
1st Phase JP Nagar,1566.0,2.0,2
1st Phase JP Nagar,840.0,2.0,1
1st Phase JP Nagar,1590.0,3.0,3
1st Phase JP Nagar,2180.0,3.0,3
1st Phase JP Nagar,1180.0,2.0,2
1st Phase JP Nagar,1200.0,2.0,2
1st Phase JP Nagar,1394.0,2.0,2
1st Phase JP Nagar,2077.0,3.0,3
1st Phase JP Nagar,1205.0,2.0,2
1st Phase JP Nagar,900.0,2.0,2
2nd Phase Judicial Layout,1450.0,2.0,3
2nd Phase Judicial Layout,1150.0,2.0,2
2nd Phase Judicial Layout,1350.0,2.0,3
2nd Phase Judicial Layout,1350.0,2.0,3
2nd Phase Judicial Layout,900.0,2.0,2
2nd Phase Judicial Layout,1681.0,3.0,3
2nd Phase Judicial Layout,1350.0,2.0,3
2nd Phase Judicial Layout,1150.0,2.0,2
2nd Stage Nagarbhavi,1500.0,4.0,4
2nd Stage Nagarbhavi,1350.0,4.0,4
2nd Stage Nagarbhavi,1200.0,4.0,4
2nd Stage Nagarbhavi,1500.0,3.0,4
5th Block Hbr Layout,1206.0,2.0,2
5th Block Hbr Layout,1270.0,2.0,3
5th Block Hbr Layout,1312.0,2.0,2
5th Block Hbr Layout,1100.0,2.0,2
5th Block Hbr Layout,3600.0,5.0,5
5th Block Hbr Layout,5100.0,5.0,6
5th Phase JP Nagar,1075.0,2.0,2
5th Phase JP Nagar,1150.0,3.0,2
5th Phase JP Nagar,1256.0,2.0,2
5th Phase JP Nagar,1207.0,2.0,2
5th Phase JP Nagar,1725.0,2.0,3
5th Phase JP Nagar,1440.0,2.0,2
5th Phase JP Nagar,1700.0,2.0,3
5th Phase JP Nagar,2500.0,5.0,5
5th Phase JP Nagar,600.0,1.0,1
5th Phase JP Nagar,1390.0,2.0,2
5th Phase JP Nagar,1256.0,2.0,2
5th Phase JP Nagar,1000.0,2.0,2
5th Phase JP Nagar,1350.0,2.0,3
5th Phase JP Nagar,552.0,1.0,1
5th Phase JP Nagar,1200.0,2.0,2
5th Phase JP Nagar,1030.0,2.0,2
5th Phase JP Nagar,1200.0,2.0,2
5th Phase JP Nagar,1190.0,2.0,2
5th Phase JP Nagar,4000.0,5.0,5
5th Phase JP Nagar,1080.0,2.0,2
5th Phase JP Nagar,1041.0,2.0,2
5th Phase JP Nagar,812.0,2.0,2
5th Phase JP Nagar,1010.0,2.0,2
5th Phase JP Nagar,1075.0,2.0,2
6th Phase JP Nagar,1192.0,2.0,2
6th Phase JP Nagar,1180.0,2.0,2
6th Phase JP Nagar,3245.0,4.0,4
6th Phase JP Nagar,1645.0,3.0,3
6th Phase JP Nagar,1140.0,2.0,2
6th Phase JP Nagar,2040.0,3.0,3
6th Phase JP Nagar,1213.0,2.0,2
6th Phase JP Nagar,1216.0,2.0,2
6th Phase JP Nagar,1460.0,2.0,2
6th Phase JP Nagar,2003.0,3.0,3
6th Phase JP Nagar,1810.0,3.0,3
6th Phase JP Nagar,1515.0,2.0,3
6th Phase JP Nagar,1192.0,2.0,2
6th Phase JP Nagar,1280.0,2.0,2
7th Phase JP Nagar,1080.0,2.0,2
7th Phase JP Nagar,1270.0,2.0,2
7th Phase JP Nagar,1420.0,2.0,3
7th Phase JP Nagar,1850.0,3.0,3
7th Phase JP Nagar,1245.0,2.0,2
7th Phase JP Nagar,1175.0,2.0,2
7th Phase JP Nagar,1400.0,2.0,3
7th Phase JP Nagar,2225.0,3.0,3
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1100.0,2.0,2
7th Phase JP Nagar,918.0,2.0,2
7th Phase JP Nagar,1450.0,2.0,3
7th Phase JP Nagar,1190.0,2.0,2
7th Phase JP Nagar,1420.0,2.0,3
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,980.0,2.0,2
7th Phase JP Nagar,1180.0,2.0,2
7th Phase JP Nagar,1400.0,3.0,3
7th Phase JP Nagar,1270.0,2.0,2
7th Phase JP Nagar,2503.0,4.0,4
7th Phase JP Nagar,2200.0,3.0,3
7th Phase JP Nagar,1575.0,2.0,3
7th Phase JP Nagar,1850.0,3.0,3
7th Phase JP Nagar,1575.0,2.0,3
7th Phase JP Nagar,1850.0,3.0,3
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1175.0,2.0,2
7th Phase JP Nagar,1215.0,2.0,2
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1300.0,3.0,3
7th Phase JP Nagar,1130.0,2.0,2
7th Phase JP Nagar,1450.0,3.0,3
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1275.0,2.0,2
7th Phase JP Nagar,1650.0,3.0,3
7th Phase JP Nagar,850.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1850.0,3.0,3
7th Phase JP Nagar,1236.0,2.0,2
7th Phase JP Nagar,1000.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1675.0,2.0,3
7th Phase JP Nagar,1187.0,2.0,2
7th Phase JP Nagar,1850.0,3.0,3
7th Phase JP Nagar,1000.0,2.0,2
7th Phase JP Nagar,1460.0,2.0,3
7th Phase JP Nagar,1650.0,3.0,3
7th Phase JP Nagar,1200.0,2.0,2
7th Phase JP Nagar,1000.0,2.0,2
7th Phase JP Nagar,1080.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1460.0,2.0,3
7th Phase JP Nagar,1120.0,2.0,2
7th Phase JP Nagar,1100.0,3.0,2
7th Phase JP Nagar,1790.0,3.0,3
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1040.0,2.0,2
7th Phase JP Nagar,1400.0,2.0,3
7th Phase JP Nagar,1800.0,3.0,3
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1000.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1050.0,2.0,2
7th Phase JP Nagar,1270.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,1130.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,980.0,2.0,2
7th Phase JP Nagar,1680.0,3.0,3
7th Phase JP Nagar,2095.0,3.0,3
7th Phase JP Nagar,1976.0,3.0,3
7th Phase JP Nagar,1600.0,2.0,3
7th Phase JP Nagar,1765.0,3.0,3
7th Phase JP Nagar,1275.0,2.0,3
7th Phase JP Nagar,1450.0,2.0,3
7th Phase JP Nagar,1575.0,2.0,3
7th Phase JP Nagar,750.0,1.0,1
7th Phase JP Nagar,990.0,2.0,2
7th Phase JP Nagar,1000.0,1.0,1
7th Phase JP Nagar,1430.0,2.0,3
7th Phase JP Nagar,1128.0,2.0,2
